                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99716,                 4.1927,                 1.2308,                0.47021,                0.16715,                0.16194,                0.12763,                 1.0778,                 3.7538,                 1.3717,              0.0033003,              0.0033003,              0.0033003
                      2,                0.99767,                 3.2649,                 1.2185,                0.39644,                0.44175,                0.42678,                0.31278,                  1.011,                 2.6925,                 1.2648,              0.0066205,              0.0066205,              0.0066205
                      3,                 1.0403,                 2.6948,                 1.2082,                0.32506,                0.47628,                0.42019,                0.30322,                 1.1174,                 2.9637,                 1.3297,              0.0099275,              0.0099275,              0.0099275
                      4,                 1.0644,                 2.4285,                 1.1863,                0.41352,                0.63882,                0.56959,                0.42494,                 1.0849,                  3.259,                 1.3196,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0448,                 2.1757,                 1.1781,                0.73232,                0.67914,                0.76833,                0.57294,                 1.0473,                  1.779,                 1.2514,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0036,                 1.9228,                 1.1365,                0.74006,                 0.7567,                0.83657,                0.64025,                0.96823,                 1.3564,                 1.1735,              0.0099208,              0.0099208,              0.0099208
                      7,                0.98595,                 1.6854,                 1.1157,                0.76209,                0.78104,                0.85296,                0.67564,                0.87917,                 1.2023,                 1.1496,               0.009901,               0.009901,               0.009901
                      8,                0.98574,                 1.5948,                 1.1394,                0.72601,                0.73525,                  0.802,                0.63654,                0.99803,                 1.3081,                 1.1879,              0.0098812,              0.0098812,              0.0098812
                      9,                0.93389,                 1.4671,                  1.097,                0.83178,                0.82736,                0.87633,                0.70254,                0.91373,                0.96324,                 1.1432,              0.0098614,              0.0098614,              0.0098614
                     10,                0.94022,                 1.3701,                 1.1028,                0.81092,                0.81318,                0.85806,                0.68501,                0.86216,                 1.0305,                 1.1286,              0.0098416,              0.0098416,              0.0098416
                     11,                0.91761,                 1.3113,                 1.0918,                0.90301,                0.82721,                0.90142,                0.72141,                0.84535,                 1.1123,                 1.1046,              0.0098218,              0.0098218,              0.0098218
                     12,                0.92312,                 1.2344,                 1.0947,                 0.8742,                0.80769,                 0.8761,                0.70862,                0.84776,                0.84007,                 1.1042,               0.009802,               0.009802,               0.009802
                     13,                0.92699,                 1.1486,                 1.0894,                0.92067,                0.88181,                0.91756,                0.72856,                0.83719,                0.75583,                 1.1004,              0.0097822,              0.0097822,              0.0097822
                     14,                0.89732,                 1.1033,                 1.0812,                0.88289,                0.82164,                0.88773,                0.72013,                0.84107,                0.87628,                 1.0871,              0.0097624,              0.0097624,              0.0097624
                     15,                0.87366,                  1.036,                 1.0771,                0.81746,                 0.7909,                0.83022,                0.67032,                0.82965,                 1.0982,                 1.1108,              0.0097426,              0.0097426,              0.0097426
                     16,                0.86877,                0.99058,                 1.0712,                0.87707,                 0.8354,                0.90088,                0.72181,                0.89264,                0.94453,                 1.1107,              0.0097228,              0.0097228,              0.0097228
                     17,                0.85613,                0.96707,                 1.0555,                0.88585,                0.87323,                0.90905,                0.74087,                0.78967,                0.77578,                 1.0691,               0.009703,               0.009703,               0.009703
                     18,                0.86787,                0.97147,                 1.0697,                0.93023,                0.86132,                0.91851,                0.75655,                0.79225,                0.73493,                 1.0638,              0.0096832,              0.0096832,              0.0096832
                     19,                0.85591,                0.91308,                 1.0561,                0.85292,                0.87943,                0.92985,                0.76408,                0.76068,                0.82147,                 1.0591,              0.0096634,              0.0096634,              0.0096634
                     20,                0.83988,                0.87692,                 1.0481,                0.90437,                0.87596,                 0.9268,                0.74403,                0.78718,                0.77123,                 1.0705,              0.0096436,              0.0096436,              0.0096436
                     21,                0.84322,                0.87177,                 1.0519,                0.79842,                0.82125,                 0.8479,                0.67848,                0.90359,                 0.9313,                 1.1328,              0.0096238,              0.0096238,              0.0096238
                     22,                0.81449,                0.82758,                 1.0441,                0.92826,                 0.8802,                0.92968,                 0.7578,                 0.7735,                0.61382,                 1.0572,               0.009604,               0.009604,               0.009604
                     23,                0.80985,                0.79641,                 1.0314,                0.92095,                0.88011,                0.93735,                0.76745,                0.79591,                0.60498,                 1.0733,              0.0095842,              0.0095842,              0.0095842
                     24,                0.82849,                0.84222,                 1.0547,                0.91342,                0.86966,                0.92081,                0.75183,                 0.7785,                0.62284,                 1.0506,              0.0095644,              0.0095644,              0.0095644
                     25,                0.82308,                0.82598,                 1.0406,                0.90249,                0.90564,                0.93839,                0.76893,                0.83332,                0.61152,                 1.0726,              0.0095446,              0.0095446,              0.0095446
                     26,                0.80697,                0.78898,                 1.0382,                0.92172,                0.88017,                0.93422,                0.76663,                0.76909,                0.58781,                 1.0416,              0.0095248,              0.0095248,              0.0095248
                     27,                0.78795,                0.75893,                 1.0231,                0.90763,                0.88955,                0.92435,                0.75737,                0.77999,                0.62317,                 1.0647,               0.009505,               0.009505,               0.009505
                     28,                0.80218,                0.76252,                 1.0337,                0.90866,                0.89296,                0.94043,                0.77708,                0.76036,                0.56369,                 1.0279,              0.0094852,              0.0094852,              0.0094852
                     29,                0.78199,                0.74349,                 1.0285,                0.90514,                0.91173,                0.93274,                0.77773,                0.75115,                0.63905,                 1.0374,              0.0094654,              0.0094654,              0.0094654
                     30,                0.79889,                0.71991,                 1.0256,                0.93974,                0.89559,                0.93599,                0.78255,                 0.7559,                0.52979,                 1.0327,              0.0094456,              0.0094456,              0.0094456
                     31,                0.78414,                0.72219,                 1.0245,                0.86033,                 0.9076,                0.92932,                0.76678,                0.81894,                0.58183,                 1.0997,              0.0094258,              0.0094258,              0.0094258
                     32,                0.79237,                0.72525,                 1.0228,                0.91596,                0.89257,                0.93435,                 0.7742,                0.74002,                0.53105,                  1.029,               0.009406,               0.009406,               0.009406
                     33,                0.76504,                0.71404,                  1.017,                0.91325,                0.86789,                0.92632,                0.76043,                0.83114,                0.58747,                 1.0913,              0.0093862,              0.0093862,              0.0093862
                     34,                0.77043,                0.70358,                 1.0284,                0.89779,                0.89498,                0.94655,                0.78358,                0.78189,                0.56564,                 1.0694,              0.0093664,              0.0093664,              0.0093664
                     35,                0.77555,                 0.6983,                 1.0231,                0.88985,                0.91203,                0.94311,                 0.7767,                0.79967,                0.58112,                 1.0729,              0.0093466,              0.0093466,              0.0093466
                     36,                0.75444,                0.68929,                 1.0109,                0.90846,                 0.9075,                0.93506,                0.77479,                0.73922,                0.59935,                 1.0454,              0.0093268,              0.0093268,              0.0093268
                     37,                0.76294,                0.68389,                 1.0162,                0.91647,                0.90799,                0.94323,                0.77995,                 0.7466,                0.76408,                 1.0305,               0.009307,               0.009307,               0.009307
                     38,                0.78518,                 0.7186,                 1.0204,                0.92544,                0.88108,                0.93442,                0.77548,                0.79128,                 0.5962,                 1.0639,              0.0092872,              0.0092872,              0.0092872
                     39,                0.75783,                0.69549,                 1.0171,                0.92023,                0.89758,                0.93899,                0.79446,                0.73262,                0.64969,                 1.0313,              0.0092674,              0.0092674,              0.0092674
                     40,                0.74244,                0.65661,                0.99687,                 0.8934,                0.90631,                0.93404,                0.76359,                0.78341,                0.54616,                 1.0578,              0.0092476,              0.0092476,              0.0092476
                     41,                0.74764,                0.66483,                 1.0156,                0.88356,                0.93168,                0.95279,                0.79142,                0.77971,                  0.499,                   1.08,              0.0092278,              0.0092278,              0.0092278
                     42,                0.73262,                0.64567,                 1.0073,                0.91528,                0.90781,                0.94292,                 0.7878,                0.75732,                0.51559,                 1.0331,               0.009208,               0.009208,               0.009208
                     43,                0.74709,                0.66809,                 1.0112,                0.88684,                0.90546,                0.93477,                0.78255,                0.77005,                0.57522,                 1.0515,              0.0091882,              0.0091882,              0.0091882
                     44,                0.74779,                0.64631,                 1.0131,                0.92909,                0.89359,                 0.9477,                0.79383,                 0.7671,                0.49864,                 1.0467,              0.0091684,              0.0091684,              0.0091684
                     45,                0.74117,                0.64214,                 1.0043,                0.94544,                0.89501,                0.93397,                 0.7774,                 0.7489,                0.50059,                 1.0358,              0.0091486,              0.0091486,              0.0091486
                     46,                0.74038,                0.63724,                0.99791,                0.91262,                0.94958,                0.95711,                0.79018,                0.78548,                0.46625,                 1.0583,              0.0091288,              0.0091288,              0.0091288
                     47,                0.72064,                0.60969,                0.99185,                0.91758,                0.90448,                 0.9476,                0.78463,                0.75822,                0.48104,                 1.0348,               0.009109,               0.009109,               0.009109
                     48,                0.72341,                0.61274,                 1.0055,                0.93027,                0.89338,                0.95381,                0.80205,                0.78763,                0.48778,                 1.0606,              0.0090892,              0.0090892,              0.0090892
                     49,                0.72286,                 0.6179,                0.99722,                0.92981,                 0.9415,                0.95041,                0.79966,                0.73886,                0.45865,                 1.0329,              0.0090694,              0.0090694,              0.0090694
                     50,                0.72011,                0.60332,                0.98771,                0.93155,                0.92272,                0.95399,                0.80379,                0.77822,                0.47883,                  1.058,              0.0090496,              0.0090496,              0.0090496
                     51,                0.70079,                0.57677,                0.98427,                0.90722,                0.87807,                0.93604,                0.77665,                0.72153,                0.49494,                 1.0175,              0.0090298,              0.0090298,              0.0090298
                     52,                0.71555,                0.59776,                0.99276,                0.90926,                0.91638,                0.94804,                0.78645,                0.82589,                0.45322,                 1.0909,                0.00901,                0.00901,                0.00901
                     53,                0.69782,                0.61314,                0.98522,                0.93658,                0.92552,                0.95462,                  0.801,                0.75743,                0.47979,                 1.0451,              0.0089902,              0.0089902,              0.0089902
                     54,                0.70935,                0.58957,                0.98367,                0.93545,                0.92782,                0.95113,                0.79355,                0.74338,                0.46162,                 1.0333,              0.0089704,              0.0089704,              0.0089704
                     55,                0.71629,                0.58965,                 1.0017,                0.90006,                0.92132,                0.95569,                 0.7935,                0.77728,                 0.5074,                 1.0607,              0.0089506,              0.0089506,              0.0089506
